Year,fua_code,fua_name,ndvi
2000,FR069L2,Cherbourg,0.6726219053092716
2000,FR073L2,Tarbes,0.5700101612288444
2000,FR074L2,CompiÃ¨gne,0.6432246762810723
2000,FR076L2,Belfort,0.7033611539066787
2000,FR077L2,Roanne,0.6717074911746808
2000,FR079L2,Saint-Quentin,0.5108658124114556
2000,FR082L2,Beauvais,0.610322710127701
2000,FR084L2,Creil,0.6097876621565854
2000,FR086L2,Evreux,0.47065532928721715
2000,FR090L2,ChÃ¢teauroux,0.5631342270253413
2000,FR093L2,Brive-la-Gaillarde,0.6691625261258252
2000,FR096L2,Albi,0.5538025374310747
2000,FR099L2,FrÃ©jus,0.5350584058811125
2000,FR104L2,ChÃ¢lons-en-Champagne,0.502508025394023
2000,FR203L2,Marseille,0.4880049518071867
2000,FR205L2,Nice,0.5545506988373753
2000,FR207L2,Lens - LiÃ©vin,0.5102738322739215
2000,FR208L1,HÃ©nin - Carvin,0.47793780841352174
2000,FR209L2,Douai,0.5072156745684032
2000,FR214L1,Valence,0.5370306690054442
2000,FR215L2,Rouen,0.6182236218443309
2000,FR304L1,Melun,0.6013471132003352
2000,FR324L1,Martigues,0.3479053790737866
2000,FR505L1,Charleville-MÃ©ziÃ¨res,0.7520712536007161
2000,FR506L1,Colmar,0.6354308815469527
2000,FR519L1,Cannes,0.5578501786841779
2000,HR001L2,Grad Zagreb,0.5876802826240071
2000,HR002L2,Rijeka,0.7383693717796507
2000,HR003L2,Slavonski Brod,0.5690273708063337
2000,HR004L2,Osijek,0.49885505566152083
2000,HR005L2,Split,0.48743298981363975
2000,HR006L1,Pula - Pola,0.5441426677347538
2000,HR007L1,Zadar,0.4426898090442224
2000,HU001L2,Budapest,0.5354614100958737
2000,HU002L2,Miskolc,0.5088550888231307
2000,HU003L2,NyÃ­regyhÃ¡za,0.5162617687488127
2000,HU004L2,PÃ©cs,0.5068638439680497
2000,HU005L2,Debrecen,0.5568026287300315
2000,HU006L2,Szeged,0.41546074039092157
2000,HU007L2,GyÃµr,0.5327179770860357
2000,HU008L2,KecskemÃ©t,0.4363689909239216
2000,HU009L2,SzÃ©kesfehÃ©rvÃ¡r,0.5094773193808236
2000,HU010L1,Szombathely,0.5211321822269741
2000,HU011L1,Szolnok,0.3740746568554727
2000,HU012L1,TatabÃ¡nya,0.6059678936261343
2000,HU013L1,VeszprÃ©m,0.5755390227455592
2000,HU014L1,BÃ©kÃ©scsaba,0.4263533390445642
2000,HU015L1,KaposvÃ¡r,0.4982271605846721
2000,HU016L1,Eger,0.5969219739811752
2000,HU017L1,DunaÃºjvÃ¡ros,0.4826483164306025
2000,HU018L1,Zalaegerszeg,0.6229015122755188
2000,HU019L1,Sopron,0.5680745468464471
2000,IE001L1,Dublin,0.6752985462994252
2000,IE002L1,Cork,0.7114570810617862
2000,IE003L1,Limerick,0.7312319399528949
2000,IE004L1,Galway,0.6404612699300248
2000,IE005L1,Waterford,0.7108960025437071
2000,IS001L1,ReykjavÃ­k,
2000,IT001L3,Roma,0.5272818099049085
2000,IT002L3,Milano,0.4181148022669178
2000,IT003L3,Napoli,0.45698422166603814
2000,IT004L2,Torino,0.5197452539572393
2000,IT005L3,Palermo,0.39864173689383303
2000,IT006L3,Genova,0.6990041512010774
2000,IT007L3,Firenze,0.5423101588848641
2000,IT008L3,Bari,0.3202172590726957
2000,IT009L1,Bologna,0.3644452864419495
2000,IT010L2,Catania,0.4028800699838666
2000,IT011L2,Venezia,0.4052323022541533
2000,IT012L3,Verona,0.44720289924647455
2000,IT013L3,Cremona,0.4890701409378646
2000,IT014L3,Trento,0.6026956236055772
2000,IT015L1,Trieste,0.634129702882816
2000,IT016L3,Perugia,0.5352933024992672
2000,IT017L3,Ancona,0.41090251488071217
2000,IT019L2,Pescara,0.40465589543152203
2000,IT020L3,Campobasso,0.4574169571939364
2000,IT021L2,Caserta,0.46802248954699693
2000,IT022L2,Taranto,0.3206905821293688
2000,IT023L2,Potenza,0.4859188725159446
2000,IT024L3,Catanzaro,0.5406719539384199
2000,IT025L3,Reggio di Calabria,0.4853451138400521
2000,IT026L3,Sassari,0.42093049513689895
2000,IT027L2,Cagliari,0.42469213048446697
2000,IT028L3,Padova,0.3986800465662072
2000,IT029L3,Brescia,0.4642404480239411
2000,IT030L3,Modena,0.44919629902121705
2000,IT031L3,Foggia,0.31559465030562295
2000,IT032L3,Salerno,0.5615604774033879
2000,IT033L2,Piacenza,0.44171146865489286
2000,IT034L1,Bolzano,0.6285243322835956
2000,IT035L2,Udine,0.5807050438782742
2000,IT036L2,La Spezia,0.6369951087030628
2000,IT037L1,Lecce,0.307651821231183
2000,IT038L1,Barletta,0.36348882119561254
2000,IT039L2,Pesaro,0.46094911360814744
2000,IT040L2,Como,0.508040881771449
2000,IT041L2,Pisa,0.49814143128187294
2000,IT042L1,Treviso,0.48232692182389325
2000,IT043L2,Varese,0.539005112522741
2000,IT045L2,Asti,0.5374470743202627
2000,IT046L2,Pavia,0.45000453488997794
